Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 3-комнатной квартиры 103,3 м², 32/49 этаж",Москва,ЗАО,3,24,15,11.3,103.3,46951916
"Продажа 1-комнатной квартиры 39,6 м², 5/16 этаж",Москва,ЮАО,3,26,4,8.7,39.6,11946568
"Продажа квартиры-студии 19,9 м², 7/33 этаж",Москва,ВАО,3,19,11,9.8,19.9,5983054
"Продажа 1-комнатной квартиры 38,5 м², 2/5 этаж",Москва,Новая Москва,0,,,3.0,38.5,7700000
"Продажа квартиры-студии 22,8 м², 24/32 этаж",Москва,САО,3,22,13,12.6,22.8,7507857
"Продажа 3-комнатной квартиры 97,3 м², 28/28 этаж",Москва,ЮАО,3,37,29,7.4,97.3,41656423
"Продажа 3-комнатной квартиры 92 м², 16/22 этаж",Москва,ЗАО,3,27,7,12.6,92.0,77000000
"Продажа 1-комнатной квартиры 57 м², 7/24 этаж",Москва,ЮАО,3,27,10,7.5,57.0,26367702
"Продажа 2-комнатной квартиры 39 м², 10/12 этаж",Москва,САО,3,17,3,12.0,39.0,11100000
"Продажа 1-комнатной квартиры 42,4 м², 2/38 этаж",Москва,ЮВАО,3,26,9,5.0,42.4,11644089
"Продажа 2-комнатной квартиры 50 м², 7/9 этаж",Москва,СЗАО,3,30,19,16.1,50.0,14800000
"Продажа 2-комнатной квартиры 68,6 м², 5/25 этаж",Москва,ЗАО,3,27,9,16.7,68.6,21500000
"Продажа 2-комнатной квартиры 38,2 м², 6/15 этаж",Москва,Новая Москва,3,31,22,23.6,38.2,8750000
"Продажа 1-комнатной квартиры 32,3 м², 27/33 этаж",Москва,ВАО,3,19,11,9.8,32.3,8763248
"Продажа 1-комнатной квартиры 42,3 м², 2/9 этаж",Москва,Новая Москва,3,79,68,30.0,42.3,8421930
"Продажа 2-комнатной квартиры 71,1 м², 16/21 этаж",Москва,ЮВАО,3,26,17,4.3,71.1,31355100
"Продажа 2-комнатной квартиры 77,3 м², 8/14 этаж",Москва,ЮАО,3,29,19,6.1,77.3,24409562
"Продажа 1-комнатной квартиры 39 м², 16/17 этаж",Москва,Новая Москва,3,58,47,2.0,39.0,12000000
"Продажа 2-комнатной квартиры 41,7 м², 4/8 этаж",Москва,САО,3,21,5,5.1,41.7,15000000
"Продажа 3-комнатной квартиры 83,8 м², 2/14 этаж",Москва,САО,3,47,39,24.8,83.8,16571450
"Продажа 2-комнатной квартиры 46,4 м², 22/33 этаж",Москва,ЮАО,3,26,20,8.6,46.4,12951539
"Продажа квартиры-студии 23,5 м², 7/23 этаж",Москва,САО,3,22,13,12.7,23.5,9083238
"Продажа 2-комнатной квартиры 101,8 м², 12/17 этаж",Москва,ЦАО,3,22,18,5.3,101.8,86977000
