Наименование объявления,Город,Район,Количество станций метро рядом,Самый длогий путь до метро,Самый короткий путь до метро,Расттояние до центра,Площадь квартиры,Цена квартиры
"Продажа 2-комнатной квартиры 56,1 м², 31/32 этаж",Москва,ЗАО,3,16,9,7.4,56.1,18219484
"Продажа 1-комнатной квартиры 42,3 м², 19/36 этаж",Москва,САО,3,27,11,12.9,42.3,17300000
"Продажа 2-комнатной квартиры 58,9 м², 18/33 этаж",Москва,ВАО,3,41,38,11.0,58.9,12757740
"Продажа 1-комнатной квартиры 46,9 м², 2/29 этаж",Москва,ЮЗАО,3,17,14,11.2,46.9,14853230
"Продажа 1-комнатной квартиры 42,4 м², 21/33 этаж",Москва,СВАО,3,25,19,14.2,42.4,10655120
"Продажа квартиры-студии 21,8 м², 25/33 этаж",Москва,ЮАО,3,26,20,8.8,21.8,6672631
"Продажа 1-комнатной квартиры 35 м², 11/11 этаж",Москва,Новая Москва,3,28,22,22.2,35.0,8690000
"Продажа 3-комнатной квартиры 53 м², 2/2 этаж",Москва,ЮАО,3,24,17,10.4,53.0,12500000
"Продажа 2-комнатной квартиры 71,8 м², 4/22 этаж",Москва,САО,3,23,5,15.0,71.8,19900000
"Продажа 3-комнатной квартиры 96,6 м², 1/2 этаж",Москва,Новая Москва,3,37,18,25.7,96.6,14000000
"Продажа 1-комнатной квартиры 42,1 м², 21/44 этаж",Москва,ЦАО,3,22,13,4.1,42.1,25900000
"Продажа 1-комнатной квартиры 33,8 м², 10/21 этаж",Москва,ВАО,3,24,19,4.9,33.8,9001278
"Продажа 2-комнатной квартиры 80,1 м², 21/21 этаж",Москва,ЦАО,3,19,18,4.8,80.1,61800000
"Продажа 1-комнатной квартиры 40 м², 17/30 этаж",Москва,ЮВАО,3,22,11,5.7,40.0,15990000
"Продажа 2-комнатной квартиры 83,1 м², 57/79 этаж",Москва,ЦАО,3,12,6,5.5,83.1,71000000
"Продажа 3-комнатной квартиры 76,9 м², 13/22 этаж",Москва,ЮЗАО,3,23,15,10.6,76.9,21490000
"Продажа квартиры-студии 27,3 м², 3/15 этаж",Москва,Новая Москва,3,50,49,29.3,27.3,6430000
"Продажа 1-комнатной квартиры 32,6 м², 4/14 этаж",Москва,Новая Москва,3,62,52,29.4,32.6,6162508
"Продажа 1-комнатной квартиры 60,7 м², 6/18 этаж",Москва,ЦАО,3,11,10,5.3,60.7,55858000
"Продажа 1-комнатной квартиры 37,9 м², 34/43 этаж",Москва,СЗАО,3,28,26,15.5,37.9,13383381
"Продажа 1-комнатной квартиры 20,7 м², 1/7 этаж",Москва,ВАО,3,26,14,6.2,20.7,4750000
"Продажа 1-комнатной квартиры 37,6 м², 19/20 этаж",Москва,Новая Москва,3,37,31,23.6,37.6,8664122
"Продажа 1-комнатной квартиры 39,9 м², 16/55 этаж",Москва,СВАО,3,30,7,6.6,39.9,14364000
"Продажа 3-комнатной квартиры 54,6 м², 2/5 этаж",Москва,ЮВАО,3,18,11,10.5,54.6,12920000
"Продажа 1-комнатной квартиры 33,3 м², 19/28 этаж",Москва,СВАО,3,27,13,11.7,33.3,11355300
"Продажа 2-комнатной квартиры 88,8 м², 4/42 этаж",Москва,СЗАО,3,30,17,6.9,88.8,40000000
"Продажа 3-комнатной квартиры 79,2 м², 18/52 этаж",Москва,СЗАО,3,28,12,16.3,79.2,27227387
"Продажа 1-комнатной квартиры 34,3 м², 6/33 этаж",Москва,ЮАО,3,26,20,8.8,34.3,9116528
"Продажа 1-комнатной квартиры 57 м², 17/24 этаж",Москва,ЮАО,3,28,11,7.5,57.0,29381154
"Продажа 2-комнатной квартиры 56,1 м², 31/54 этаж",Москва,ЗАО,3,29,13,11.8,56.1,22498714
"Продажа 3-комнатной квартиры 78 м², 4/21 этаж",Москва,САО,3,16,15,7.8,78.0,29800000
"Продажа квартиры-студии 23,8 м², 23/26 этаж",Москва,СВАО,3,18,14,7.5,23.8,14090000
"Продажа 2-комнатной квартиры 64,1 м², 2/23 этаж",Москва,ЮВАО,3,30,20,7.1,64.1,14448909
"Продажа 3-комнатной квартиры 74 м², 6/28 этаж",Москва,ЮАО,3,21,1,8.9,74.0,22500000
"Продажа 1-комнатной квартиры 35 м², 4/17 этаж",Москва,ЮЗАО,3,20,7,15.3,35.0,13700000
"Продажа 2-комнатной квартиры 59 м², 25/30 этаж",Москва,САО,3,29,8,16.6,59.0,19400000
"Продажа 2-комнатной квартиры 67,5 м², 11/12 этаж",Москва,Новая Москва,3,30,23,22.8,67.5,16559059
"Продажа 2-комнатной квартиры 54,5 м², 30/32 этаж",Москва,САО,3,22,13,12.6,54.5,18912590
"Продажа 1-комнатной квартиры 38,1 м², 9/17 этаж",Москва,САО,3,17,7,14.4,38.1,10450000
"Продажа 2-комнатной квартиры 50,3 м², 7/17 этаж",Москва,ЮАО,3,30,14,15.2,50.3,12000000
"Продажа 2-комнатной квартиры 57 м², 12/24 этаж",Москва,СЗАО,3,32,27,10.2,57.0,18300000
"Продажа 1-комнатной квартиры 41,2 м², 6/9 этаж",Москва,Новая Москва,3,79,68,29.7,41.2,8553120
"Продажа 2-комнатной квартиры 48,1 м², 22/33 этаж",Москва,СВАО,3,25,22,13.6,48.1,10523125
"Продажа 2-комнатной квартиры 56,6 м², 5/15 этаж",Москва,СВАО,3,22,4,6.1,56.6,30000000
"Продажа 1-комнатной квартиры 38 м², 13/17 этаж",Москва,ЮВАО,3,21,10,20.6,38.0,10300000
"Продажа 1-комнатной квартиры 38,1 м², 15/17 этаж",Москва,Новая Москва,3,29,25,23.5,38.1,9616212
"Продажа 3-комнатной квартиры 65 м², 1/16 этаж",Москва,ЗАО,3,30,13,13.5,65.0,13900000
"Продажа 3-комнатной квартиры 51 м², 1/9 этаж",Москва,Новая Москва,3,56,43,29.0,51.0,11200000
"Продажа квартиры-студии 25,6 м², 9/38 этаж",Москва,ЮВАО,3,26,9,5.0,25.6,8739225
"Продажа 2-комнатной квартиры 57 м², 2/5 этаж",Москва,СЗАО,3,30,18,13.6,57.0,14000000
"Продажа 2-комнатной квартиры 61,7 м², 4/21 этаж",Москва,ЗАО,3,28,9,12.1,61.7,18556567
"Продажа квартиры-студии 19 м², 8/10 этаж",Москва,ЮВАО,3,23,16,5.5,19.0,4950000
"Продажа 1-комнатной квартиры 32,5 м², 31/33 этаж",Москва,ЮВАО,3,26,9,5.0,32.5,10339617
"Продажа 1-комнатной квартиры 32,4 м², 7/12 этаж",Москва,САО,3,15,8,11.1,32.4,11870000
"Продажа 2-комнатной квартиры 38,2 м², 16/31 этаж",Москва,САО,3,25,10,12.4,38.2,13319862
"Продажа 2-комнатной квартиры 59,7 м², 2/24 этаж",Москва,СЗАО,3,30,13,13.9,59.7,19037852
"Продажа 2-комнатной квартиры 47,2 м², 2/12 этаж",Москва,ЮЗАО,3,25,16,12.1,47.2,10800000
"Продажа 1-комнатной квартиры 42,2 м², 10/13 этаж",Москва,САО,3,47,39,24.8,42.2,10423400
"Продажа 2-комнатной квартиры 60 м², 18/79 этаж",Москва,ЦАО,3,12,6,5.5,60.0,43000000
"Продажа 3-комнатной квартиры 64,5 м², 3/16 этаж",Москва,ЮАО,3,20,10,17.3,64.5,15490000
"Продажа 1-комнатной квартиры 36,1 м², 19/33 этаж",Москва,ВАО,3,19,11,9.8,36.1,9661370
"Продажа 1-комнатной квартиры 33,9 м², 3/24 этаж",Москва,СВАО,3,30,21,13.6,33.9,8631279
"Продажа 1-комнатной квартиры 41,2 м², 9/14 этаж",Москва,Новая Москва,3,75,64,,41.2,9575539
"Продажа 2-комнатной квартиры 48,4 м², 22/28 этаж",Москва,ВАО,3,19,11,9.8,48.4,11946862
"Продажа квартиры-студии 32 м², 2/2 этаж",Москва,ЮВАО,3,29,14,12.5,32.0,5300000
"Продажа 1-комнатной квартиры 50,9 м², 10/29 этаж",Москва,ЮЗАО,3,17,14,11.2,50.9,15890980
"Продажа 2-комнатной квартиры 63,6 м², 7/33 этаж",Москва,ЮАО,3,26,20,8.7,63.6,15581745
"Продажа 2-комнатной квартиры 46 м², 4/9 этаж",Москва,ЮВАО,3,19,9,10.5,46.0,15350000
"Продажа квартиры-студии 19,9 м², 32/33 этаж",Москва,ЮАО,3,26,20,8.6,19.9,6556094
"Продажа 1-комнатной квартиры 31,5 м², 7/9 этаж",Москва,ЮЗАО,3,22,18,9.3,31.5,10100000
"Продажа 1-комнатной квартиры 40 м², 13/18 этаж",Москва,ЗАО,3,30,18,14.6,40.0,11500000
"Продажа 1-комнатной квартиры 39,4 м², 7/17 этаж",Москва,Новая Москва,3,28,16,22.9,39.4,9500000
"Продажа 2-комнатной квартиры 76,8 м², 4/12 этаж",Москва,ЮАО,3,27,8,11.5,76.8,22899957
"Продажа 1-комнатной квартиры 43,4 м², 11/14 этаж",Москва,Новая Москва,3,75,64,,43.4,9758750
"Продажа 2-комнатной квартиры 64,2 м², 26/28 этаж",Москва,СВАО,3,18,14,7.5,64.2,29980000
"Продажа 1-комнатной квартиры 32,3 м², 4/9 этаж",Москва,Новая Москва,3,62,52,29.6,32.3,5946614
"Продажа 2-комнатной квартиры 61,2 м², 15/32 этаж",Москва,САО,3,24,6,5.2,61.2,21630000
"Продажа 3-комнатной квартиры 90 м², 13/28 этаж",Москва,ЮАО,3,21,16,4.2,90.0,37862075
"Продажа 3-комнатной квартиры 49,7 м², 3/9 этаж",Москва,Зеленоград,3,85,72,431.0,49.7,12000000
"Продажа 4-комнатной квартиры 96 м², 8/11 этаж",Москва,ЗАО,3,23,16,12.3,96.0,38500000
"Продажа 3-комнатной квартиры 98,4 м², 13/19 этаж",Москва,СЗАО,3,29,17,6.9,98.4,61000000
"Продажа 2-комнатной квартиры 66 м², 6/8 этаж",Москва,ВАО,3,23,15,6.9,66.0,16600000
"Продажа 1-комнатной квартиры 36 м², 8/17 этаж",Москва,ЦАО,3,18,15,5.2,36.0,17323989
"Продажа квартиры-студии 15 м², 1/3 этаж",Москва,ВАО,3,28,17,6.6,15.0,4730000
"Продажа 1-комнатной квартиры 57 м², 14/24 этаж",Москва,ЮАО,3,27,10,7.5,57.0,28251109
"Продажа 2-комнатной квартиры 73 м², 26/29 этаж",Москва,ЗАО,3,26,22,7.1,73.0,27000000
"Продажа квартиры-студии 25,4 м², 23/24 этаж",Москва,СВАО,3,30,21,13.6,25.4,6999732
"Продажа квартиры-студии 26,2 м², 14/25 этаж",Москва,ЮАО,3,21,2,7.1,26.2,11500000
"Продажа 1-комнатной квартиры 39,3 м², 5/14 этаж",Москва,САО,3,17,16,14.0,39.3,9800000
"Продажа квартиры-студии 20 м², 21/32 этаж",Москва,СЗАО,3,36,22,19.8,20.0,5012160
"Продажа 2-комнатной квартиры 52,6 м², 14/23 этаж",Москва,ЮВАО,3,30,20,7.1,52.6,13374602
"Продажа 2-комнатной квартиры 42 м², 5/9 этаж",Москва,СЗАО,3,30,19,16.1,42.0,13400000
"Продажа 1-комнатной квартиры 58 м², 18/18 этаж",Москва,ЮАО,3,30,12,7.6,58.0,26523866
"Продажа 1-комнатной квартиры 41 м², 10/24 этаж",Москва,САО,3,23,5,15.0,41.0,15500000
"Продажа 3-комнатной квартиры 96,3 м², 18/18 этаж",Москва,ЮАО,3,30,12,7.6,96.3,40496735
"Продажа 1-комнатной квартиры 32,8 м², 1/9 этаж",Москва,САО,3,5,4,10.9,32.8,9200000
"Продажа 1-комнатной квартиры 35,9 м², 10/21 этаж",Москва,ЗАО,3,28,9,12.2,35.9,12050657
"Продажа квартиры-студии 15,2 м², 2/4 этаж",Москва,САО,3,15,9,5.9,15.2,5487200
"Продажа 1-комнатной квартиры 39 м², 4/12 этаж",Москва,ЗАО,3,30,13,15.3,39.0,9350000
"Продажа 1-комнатной квартиры 33,2 м², 7/15 этаж",Москва,Новая Москва,3,22,10,24.2,33.2,9100000
"Продажа 1-комнатной квартиры 32,4 м², 2/33 этаж",Москва,ЮАО,3,26,20,8.6,32.4,9186825
"Продажа квартиры-студии 21,2 м², 30/32 этаж",Москва,САО,3,22,13,12.6,21.2,8769189
"Продажа квартиры-студии 20 м², 26/38 этаж",Москва,ЮВАО,3,26,9,5.0,20.0,7618560
"Продажа 2-комнатной квартиры 61,1 м², 3/32 этаж",Москва,ЗАО,3,16,9,7.3,61.1,19462060
"Продажа 2-комнатной квартиры 56 м², 3/14 этаж",Москва,ЮВАО,3,26,8,14.2,56.0,16699000
"Продажа 1-комнатной квартиры 36,1 м², 17/17 этаж",Москва,ЮЗАО,3,25,22,26.4,36.1,6917337
"Продажа 1-комнатной квартиры 42,4 м², 26/33 этаж",Москва,СВАО,3,25,19,14.2,42.4,10684800
"Продажа квартиры-студии 29,6 м², 12/32 этаж",Москва,ЗАО,3,16,9,7.4,29.6,11735808
"Продажа 3-комнатной квартиры 81,9 м², 5/13 этаж",Москва,СЗАО,3,27,9,10.9,81.9,34922160
"Продажа 1-комнатной квартиры 37,6 м², 9/25 этаж",Москва,ВАО,3,34,25,10.7,37.6,13235200
"Продажа 4-комнатной квартиры 110,1 м², 13/29 этаж",Москва,ЮЗАО,3,17,14,11.2,110.1,36641280
"Продажа 3-комнатной квартиры 104 м², 14/33 этаж",Москва,ЗАО,3,30,4,13.1,104.0,35000000
"Продажа 2-комнатной квартиры 51,5 м², 24/28 этаж",Москва,ВАО,3,19,11,9.8,51.5,12219302
"Продажа 1-комнатной квартиры 32 м², 2/5 этаж",Москва,ЮВАО,3,27,13,9.5,32.0,7850000
"Продажа 1-комнатной квартиры 38 м², 8/17 этаж",Москва,ЮВАО,3,24,13,14.8,38.0,9600000
"Продажа 1-комнатной квартиры 35 м², 14/14 этаж",Москва,Зеленоград,3,81,42,608.0,35.0,7100000
"Продажа 1-комнатной квартиры 32,2 м², 22/33 этаж",Москва,ВАО,3,41,38,11.1,32.2,8487920
"Продажа 3-комнатной квартиры 63,3 м², 1/12 этаж",Москва,ЮЗАО,3,30,8,7.3,63.3,22570000
"Продажа 2-комнатной квартиры 67,4 м², 8/25 этаж",Москва,ЮВАО,3,26,17,4.3,67.4,25632220
"Продажа 2-комнатной квартиры 56 м², 32/53 этаж",Москва,СЗАО,3,28,12,16.4,56.0,26466107
"Продажа 1-комнатной квартиры 19,8 м², 9/9 этаж",Москва,Зеленоград,3,64,53,814.0,19.8,5841000
"Продажа 2-комнатной квартиры 69,5 м², 30/55 этаж",Москва,СВАО,3,30,7,6.6,69.5,27522000
"Продажа 1-комнатной квартиры 26,9 м², 22/29 этаж",Москва,ЮЗАО,3,17,14,11.2,26.9,9799670
"Продажа 3-комнатной квартиры 83,6 м², 30/33 этаж",Москва,СВАО,3,25,22,13.6,83.6,17135993
"Продажа 2-комнатной квартиры 53,9 м², 8/14 этаж",Москва,ЮВАО,3,21,11,13.9,53.9,15000000
"Продажа 2-комнатной квартиры 67,6 м², 18/55 этаж",Москва,СВАО,3,30,7,6.6,67.6,26431600
"Продажа 2-комнатной квартиры 62,1 м², 11/24 этаж",Москва,ЗАО,3,16,9,7.5,62.1,21735993
"Продажа 3-комнатной квартиры 87,1 м², 13/18 этаж",Москва,СЗАО,3,27,9,10.5,87.1,41163460
"Продажа 3-комнатной квартиры 57,7 м², 8/9 этаж",Москва,ЮВАО,3,44,34,17.2,57.7,11300000
"Продажа 2-комнатной квартиры 44 м², 5/5 этаж",Москва,ЦАО,3,11,5,0.0,44.0,17800000
"Продажа 2-комнатной квартиры 48,7 м², 25/33 этаж",Москва,СВАО,3,25,22,13.6,48.7,10784322
"Продажа 1-комнатной квартиры 41,5 м², 26/33 этаж",Москва,ЮАО,3,26,20,8.8,41.5,11133288
"Продажа квартиры-студии 26,5 м², 13/25 этаж",Москва,ВАО,3,34,25,10.7,26.5,9102750
"Продажа многокомнатной квартиры 112 м², 2/3 этаж",Москва,ЦАО,3,17,8,0.0,112.0,57400000
"Продажа 3-комнатной квартиры 84,9 м², 18/31 этаж",Москва,ЗАО,3,31,5,11.5,84.9,27500000
"Продажа 3-комнатной квартиры 64 м², 10/12 этаж",Москва,Зеленоград,3,73,64,1004.0,64.0,15000000
"Продажа квартиры-студии 15,7 м², 5/5 этаж",Москва,ЮВАО,3,25,13,9.8,15.7,5226392
"Продажа 1-комнатной квартиры 35,6 м², 13/32 этаж",Москва,СЗАО,3,29,20,6.7,35.6,16927335
"Продажа 1-комнатной квартиры 37 м², 20/52 этаж",Москва,ЮАО,3,30,22,13.9,37.0,14299205
"Продажа 2-комнатной квартиры 56 м², 8/17 этаж",Москва,САО,3,27,6,15.9,56.0,20499000
"Продажа 1-комнатной квартиры 42,4 м², 18/33 этаж",Москва,СВАО,3,25,19,14.2,42.4,10595760
"Продажа 2-комнатной квартиры 47,5 м², 6/8 этаж",Москва,ЗАО,3,29,21,16.4,47.5,17229625
"Продажа 1-комнатной квартиры 32 м², 4/5 этаж",Москва,ВАО,3,29,12,10.4,32.0,9300000
"Продажа 2-комнатной квартиры 48,8 м², 19/29 этаж",Москва,ЮЗАО,3,17,14,11.2,48.8,16479760
"Продажа 1-комнатной квартиры 47,5 м², 16/28 этаж",Москва,ВАО,3,19,11,9.8,47.5,10955590
"Продажа 2-комнатной квартиры 55,5 м², 7/15 этаж",Москва,ЮАО,3,23,8,13.6,55.5,13800000
"Продажа 4-комнатной квартиры 127,3 м², 22/24 этаж",Москва,ЮАО,3,28,11,7.5,127.3,72675568
"Продажа 2-комнатной квартиры 67 м², 14/34 этаж",Москва,САО,3,23,11,7.8,67.0,25900000
"Продажа 3-комнатной квартиры 65,6 м², 20/26 этаж",Москва,ЮАО,3,27,21,7.9,65.6,25761317
"Продажа 1-комнатной квартиры 35,8 м², 4/28 этаж",Москва,ВАО,3,19,11,9.8,35.8,8932243
"Продажа 2-комнатной квартиры 53,9 м², 11/53 этаж",Москва,СЗАО,3,28,12,16.4,53.9,18984937
"Продажа 1-комнатной квартиры 35,9 м², 2/16 этаж",Москва,Новая Москва,3,28,14,20.9,35.9,10000000
"Продажа 1-комнатной квартиры 43,8 м², 8/9 этаж",Москва,Новая Москва,3,79,68,30.0,43.8,9233040
"Продажа квартиры-студии 17,6 м², 27/33 этаж",Москва,СЗАО,3,29,20,6.7,17.6,13001623
"Продажа квартиры-студии 20 м², 3/19 этаж",Москва,СЗАО,3,36,22,19.7,20.0,5111520
"Продажа 2-комнатной квартиры 51 м², 14/16 этаж",Москва,САО,3,29,13,15.5,51.0,11800000
"Продажа 1-комнатной квартиры 38,3 м², 17/28 этаж",Москва,СВАО,3,27,13,11.7,38.3,12600700
"Продажа квартиры-студии 19,9 м², 15/33 этаж",Москва,ЮАО,3,26,20,8.6,19.9,6442585
"Продажа 1-комнатной квартиры 39,3 м², 36/52 этаж",Москва,СЗАО,3,28,12,16.3,39.3,16785200
"Продажа 1-комнатной квартиры 25,1 м², 4/9 этаж",Москва,ЮВАО,3,28,14,12.6,25.1,7125000
"Продажа 1-комнатной квартиры 34,4 м², 18/21 этаж",Москва,Новая Москва,3,32,23,18.6,34.4,8950000
"Продажа 2-комнатной квартиры 85,5 м², 7/25 этаж",Москва,ЗАО,3,30,18,17.4,85.5,21200000
"Продажа 2-комнатной квартиры 46,2 м², 7/8 этаж",Москва,ЦАО,3,21,6,0.0,46.2,21700000
"Продажа 1-комнатной квартиры 47 м², 10/12 этаж",Москва,СВАО,3,27,8,6.4,47.0,25000000
"Продажа 2-комнатной квартиры 51,4 м², 5/14 этаж",Москва,Новая Москва,3,62,52,29.4,51.4,8696880
"Продажа 1-комнатной квартиры 31,6 м², 11/29 этаж",Москва,ЮЗАО,3,17,14,11.2,31.6,12756920
"Продажа квартиры-студии 20,4 м², 16/32 этаж",Москва,СВАО,3,28,20,15.6,20.4,5849985
"Продажа квартиры-студии 24,1 м², 16/21 этаж",Москва,Новая Москва,3,32,29,18.9,24.1,8599000
"Продажа 2-комнатной квартиры 55,9 м², 8/22 этаж",Москва,СЗАО,1,16,16,14.0,55.9,14300000
"Продажа 2-комнатной квартиры 43,1 м², 9/12 этаж",Москва,Новая Москва,3,49,44,26.0,43.1,11900000
"Продажа 2-комнатной квартиры 103 м², 19/32 этаж",Москва,ЮЗАО,3,22,8,11.8,103.0,35700000
"Продажа 3-комнатной квартиры 63,5 м², 7/9 этаж",Москва,ЗАО,3,30,11,13.2,63.5,17100000
"Продажа квартиры-студии 19,9 м², 4/5 этаж",Москва,ВАО,3,27,11,12.0,19.9,4780000
"Продажа квартиры-студии 28 м², 3/38 этаж",Москва,САО,3,25,8,13.1,28.0,12500000
"Продажа 2-комнатной квартиры 49,4 м², 9/22 этаж",Москва,СВАО,3,18,16,5.2,49.4,25552199
"Продажа 2-комнатной квартиры 45 м², 8/9 этаж",Москва,СЗАО,3,30,19,16.1,45.0,13100000
"Продажа 1-комнатной квартиры 42,4 м², 7/33 этаж",Москва,ВАО,3,19,12,10.5,42.4,11083699
"Продажа 1-комнатной квартиры 30,3 м², 5/5 этаж",Москва,СЗАО,3,22,9,8.4,30.3,9400000
"Продажа 2-комнатной квартиры 57,9 м², 11/22 этаж",Москва,Новая Москва,3,32,23,18.6,57.9,13975000
"Продажа 1-комнатной квартиры 35,5 м², 15/16 этаж",Москва,СВАО,3,35,29,15.4,35.5,8100000
"Продажа 3-комнатной квартиры 92 м², 10/21 этаж",Москва,САО,3,21,7,5.3,92.0,56500000
"Продажа 1-комнатной квартиры 55,9 м², 22/21 этаж",Москва,САО,3,17,15,7.9,55.9,31961615
"Продажа 1-комнатной квартиры 36,9 м², 20/36 этаж",Москва,СЗАО,3,31,21,7.9,36.9,14200000
"Продажа 1-комнатной квартиры 37,9 м², 8/16 этаж",Москва,ЮАО,3,10,4,16.8,37.9,10100000
"Продажа квартиры-студии 23,8 м², 21/33 этаж",Москва,САО,3,26,12,12.5,23.8,8342994
"Продажа 2-комнатной квартиры 49,1 м², 4/21 этаж",Москва,ЮАО,3,28,11,7.3,49.1,19700000
"Продажа 1-комнатной квартиры 43 м², 16/28 этаж",Москва,ЗАО,3,29,27,6.9,43.0,15500000
"Продажа 1-комнатной квартиры 37,3 м², 3/16 этаж",Москва,ЮВАО,3,17,8,3.8,37.3,10500000
"Продажа квартиры-студии 30,1 м², 5/15 этаж",Москва,Новая Москва,3,79,68,29.7,30.1,6974170
"Продажа 3-комнатной квартиры 52 м², 2/13 этаж",Москва,ВАО,3,21,16,13.0,52.0,22000000
"Продажа 3-комнатной квартиры 124,8 м², 3/21 этаж",Москва,СЗАО,3,27,9,10.8,124.8,53302080
"Продажа 1-комнатной квартиры 44,5 м², 46/53 этаж",Москва,СЗАО,3,28,12,16.4,44.5,18982500
"Продажа 1-комнатной квартиры 36 м², 22/27 этаж",Москва,СЗАО,3,33,22,7.8,36.0,15200000
"Продажа 4-комнатной квартиры 104 м², 18/21 этаж",Москва,САО,3,21,7,5.3,104.0,45000000
"Продажа 1-комнатной квартиры 38,5 м², 12/16 этаж",Москва,ЮВАО,3,28,5,12.0,38.5,12100000
"Продажа 2-комнатной квартиры 57,8 м², 12/26 этаж",Москва,ЮАО,3,27,19,7.9,57.8,20941952
"Продажа 2-комнатной квартиры 66,4 м², 14/21 этаж",Москва,СВАО,3,18,14,7.5,66.4,29990000
"Продажа 3-комнатной квартиры 56,7 м², 3/5 этаж",Москва,СВАО,3,12,10,10.9,56.7,15000000
"Продажа 2-комнатной квартиры 65 м², 8/16 этаж",Москва,Новая Москва,3,39,17,23.2,65.0,17000000
"Продажа квартиры-студии 24,8 м², 3/52 этаж",Москва,ЮАО,3,30,22,13.9,24.8,9152192
,,,,,,,,
"Продажа 1-комнатной квартиры 35,5 м², 4/19 этаж",Москва,СВАО,3,28,22,10.7,35.5,13500000
"Продажа квартиры-студии 18,8 м², 8/9 этаж",Москва,Новая Москва,3,47,37,25.5,18.8,5650000
"Продажа квартиры-студии 25,5 м², 18/33 этаж",Москва,ВАО,3,19,12,10.5,25.5,7449264
"Продажа 3-комнатной квартиры 90,2 м², 18/20 этаж",Москва,СЗАО,3,28,12,16.2,90.2,33897674
"Продажа 2-комнатной квартиры 46,2 м², 18/28 этаж",Москва,ВАО,3,19,11,9.8,46.2,11569588
"Продажа 2-комнатной квартиры 68 м², 10/44 этаж",Москва,ЦАО,3,22,13,4.1,68.0,39199000
"Продажа 1-комнатной квартиры 34,8 м², 4/14 этаж",Москва,ВАО,3,21,17,8.6,34.8,11900000
"Продажа многокомнатной квартиры 260 м², 25/37 этаж",Москва,СВАО,3,26,15,9.3,260.0,128750000
"Продажа 3-комнатной квартиры 71,7 м², 3/23 этаж",Москва,САО,3,27,10,13.1,71.7,21500000
"Продажа 3-комнатной квартиры 79 м², 2/7 этаж",Москва,ВАО,3,31,23,14.8,79.0,21500000
"Продажа 1-комнатной квартиры 41,5 м², 33/33 этаж",Москва,ЮАО,3,26,20,8.5,41.5,12427590
"Продажа 2-комнатной квартиры 70 м², 18/21 этаж",Москва,ЗАО,3,28,9,12.2,70.0,19711808
"Продажа квартиры-студии 29,4 м², 8/12 этаж",Москва,Новая Москва,3,79,68,30.0,29.4,6797280
"Продажа квартиры-студии 15,7 м², 1/5 этаж",Москва,ЮВАО,3,23,9,10.1,15.7,4082000
"Продажа 1-комнатной квартиры 29 м², 1/5 этаж",Москва,ЗАО,3,17,5,9.1,29.0,9450000
"Продажа 2-комнатной квартиры 50,2 м², 15/17 этаж",Москва,ВАО,3,21,11,15.7,50.2,12900000
"Продажа 1-комнатной квартиры 37,9 м², 24/43 этаж",Москва,СЗАО,3,28,26,15.5,37.9,12512022
"Продажа 3-комнатной квартиры 99,3 м², 3/12 этаж",Москва,ЗАО,3,16,9,7.4,99.3,27340070
"Продажа 3-комнатной квартиры 66 м², 7/9 этаж",Москва,ЮЗАО,3,29,25,16.1,66.0,16300000
"Продажа квартиры-студии 28 м², 13/15 этаж",Москва,САО,3,47,39,24.9,28.0,8901200
"Продажа 1-комнатной квартиры 36,3 м², 6/14 этаж",Москва,Новая Москва,3,62,52,29.4,36.3,6674263
"Продажа 3-комнатной квартиры 90,4 м², 7/28 этаж",Москва,ЗАО,3,29,27,6.9,90.4,40500000
"Продажа 1-комнатной квартиры 42,6 м², 7/19 этаж",Москва,ВАО,3,31,25,10.3,42.6,11600000
"Продажа 3-комнатной квартиры 63 м², 14/14 этаж",Москва,СВАО,3,23,14,12.0,63.0,14400000
"Продажа квартиры-студии 27 м², 4/6 этаж",Москва,СВАО,3,21,17,15.1,27.0,7000000
"Продажа 1-комнатной квартиры 34,1 м², 8/25 этаж",Москва,Новая Москва,3,27,19,20.3,34.1,10890000
"Продажа 1-комнатной квартиры 39,9 м², 11/52 этаж",Москва,САО,3,20,13,9.6,39.9,11600000
"Продажа 3-комнатной квартиры 78 м², 6/22 этаж",Москва,ЮВАО,3,23,13,19.2,78.0,16500000
"Продажа 2-комнатной квартиры 55,5 м², 6/19 этаж",Москва,ЮАО,3,25,16,9.0,55.5,23700000
"Продажа 4-комнатной квартиры 102,1 м², 10/29 этаж",Москва,ЮВАО,3,20,7,5.6,102.1,32918163
"Продажа квартиры-студии 25,4 м², 3/14 этаж",Москва,Новая Москва,3,75,64,,25.4,6734556
"Продажа 2-комнатной квартиры 70,7 м², 28/49 этаж",Москва,САО,3,21,10,6.7,70.7,31431860
"Продажа квартиры-студии 22 м², 5/17 этаж",Москва,ЮЗАО,3,25,22,26.4,22.0,5104704
"Продажа 2-комнатной квартиры 80,7 м², 2/3 этаж",Москва,САО,3,24,13,8.0,80.7,35000000
"Продажа 2-комнатной квартиры 46 м², 3/18 этаж",Москва,Зеленоград,3,57,44,371.0,46.0,10700000
"Продажа 2-комнатной квартиры 46 м², 10/33 этаж",Москва,ЮАО,3,25,7,18.5,46.0,10620480
"Продажа 3-комнатной квартиры 65,8 м², 1/17 этаж",Москва,Новая Москва,3,31,26,21.8,65.8,11500000
